time,id,group1,group2,name,runtime,lang,num_atts,sub_atts,score,tests,passed,comp_err,rt_err,wrong_output,time_limit,mem_limit,other_err,error_msg,
2023-11-11T13:07:57.989,0d347e1e-a814-11e7-a937-00505601122b,Programming I and II,,(title in AnonLang),c-gcc-linux,al,0,0,0,4,0,4,0,0,0,0,0,,
2023-11-11T13:08:05.153,81b2eec0-a7b3-11e7-a937-00505601122b,Programming I and II,,(title in AnonLang),python3,al,0,0,1,6,6,0,0,0,0,0,0,,
2023-11-11T13:08:26.559,64a9972c-ea9f-11e9-9ce9-00505601122b,Programming I and II,,(title in AnonLang),python3,al,0,0,0.67,15,10,0,0,5,0,0,0,,
2023-11-11T13:10:36.594,00c64bbc-28de-11ec-986f-f39926f24a9c,Programming I and II,,(title in AnonLang),python3,al,0,0,0,6,0,0,0,6,0,0,0,,
2023-11-11T13:10:42.991,08deab74-85f8-11eb-a1a9-005056ad4f31,Programming I and II,,(title in AnonLang),python3,al,0,0,0,5,0,0,5,0,0,0,0,,
2023-11-11T13:11:11.281,e5ce30fb-3c22-11ec-986f-f39926f24a9c,Programming I and II,,(title in AnonLang),python3,al,0,0,0.9,11,10,0,0,1,0,0,0,,
2023-11-11T13:11:53.890,91e0cb16-34ad-42b0-b17c-39a8e0747a47,Programming I and II,,Fibonacci numbers,python3,en,0,0,0,10,0,0,0,10,0,0,0,,
2023-11-11T13:12:05.262,0f783909-2eb1-11ec-986f-f39926f24a9c,Programming I and II,,(title in AnonLang),python3,al,0,0,0,3,0,0,0,3,0,0,0,,
2023-11-11T13:12:28.807,3485ea4f-7205-11ec-986f-f39926f24a9c,Introduction to Algorithms,,(title in AnonLang),python3,al,0,0,0,4,0,0,4,0,0,0,0,,
2023-11-11T13:12:46.536,62597d41-5272-11ea-a595-00505601122b,Non-Procedural Programming,,Disjoint split,prolog,en,0,0,0,4,0,0,0,4,0,0,0,,
2023-11-11T13:13:10.064,1076ec35-90b8-11ec-986f-f39926f24a9c,Non-Procedural Programming,,(title in AnonLang),prolog,al,0,0,0,7,0,0,7,0,0,0,0,,
2023-11-11T13:13:22.876,bb1a0d53-f366-11e9-9ce9-00505601122b,Programming I and II,,(title in AnonLang),python3,al,0,0,0,4,0,0,4,0,0,0,0,,
2023-11-11T13:13:39.945,0753f090-a88c-11e7-a937-00505601122b,Programming I and II,,Prime factorization,cs-dotnet-core,en,0,0,1,10,10,0,0,0,0,0,0,,
2023-11-11T13:13:45.687,bd877440-85fa-11eb-a1a9-005056ad4f31,Programming I and II,,(title in AnonLang),python3,al,0,0,0,5,0,0,5,0,0,0,0,,
2023-11-11T13:14:01.060,85eb2866-a7b3-11e7-a937-00505601122b,Programming I and II,,(title in AnonLang),python3,al,0,0,0.17,6,1,0,0,5,0,0,0,,
2023-11-11T13:14:08.846,76a7adc9-a88f-11e7-a937-00505601122b,Programming I and II,,Decomposition into sums,python3,en,0,0,0,5,0,0,0,5,0,0,0,,
2023-11-11T13:14:15.937,dce3b48b-2858-11ec-986f-f39926f24a9c,Programming I and II,,(title in AnonLang),python3,al,0,0,1,4,4,0,0,0,0,0,0,,
2023-11-11T13:14:33.995,27f84afa-30da-11ea-9ce9-00505601122b,Programming I and II,,(title in AnonLang),python3,al,0,0,0,5,0,0,0,5,0,0,0,,
2023-11-11T13:14:49.280,f2db7c11-a88f-11e7-a937-00505601122b,Programming I and II,,(title in AnonLang),cs-dotnet-core,al,0,0,0.6,5,3,0,0,2,0,0,0,,
2023-11-11T13:15:05.202,ae449043-96fa-11eb-a1a9-005056ad4f31,Non-Procedural Programming,,Googolplex,haskell,en,0,0,0,5,0,5,0,0,0,0,0,,
2023-11-11T13:15:29.417,b45aa570-15f7-11eb-8e81-005056ad4f31,Programming I and II,,(title in AnonLang),python3,al,0,0,0,3,0,0,0,3,0,0,0,,
2023-11-11T13:15:37.950,4c965b5e-3443-11ec-986f-f39926f24a9c,Programming I and II,,Most frequent element in a sequence,python3,en,0,0,1,3,3,0,0,0,0,0,0,,
2023-11-11T13:15:58.829,ebd60ef2-ce02-11e8-a4be-00505601122b,Programming in C++,,(title in AnonLang),cxx-gcc-linux,al,0,0,0.83,6,5,0,0,1,0,0,0,,
2023-11-11T14:23:41.265,f267dc1a-a810-11e7-a937-00505601122b,Programming I and II,,Second largest number,c-gcc-linux,en,0,0,0.64,11,7,0,0,4,0,0,0,,
2023-11-11T14:24:21.456,49420b9a-026a-11eb-9574-ea7484399335,Programming I and II,,A Tie in Noughts and Crosses II,python3,en,0,0,0,9,0,0,3,6,0,0,0,,
2023-11-11T14:24:37.498,2a3ac276-85f4-11eb-a1a9-005056ad4f31,Programming I and II,,(title in AnonLang),python3,al,0,0,0,5,0,0,5,0,0,0,0,,
2023-11-11T14:24:57.741,8bf543e9-328f-11ec-986f-f39926f24a9c,Introduction to Algorithms,,(title in AnonLang),python3,al,0,0,0,7,0,0,7,0,0,0,0,,
2023-11-11T14:25:17.180,4db997b3-458a-11ec-986f-f39926f24a9c,Programming I and II,,(title in AnonLang),python3,al,0,0,0,3,0,0,3,0,0,0,0,,
2023-11-11T14:25:24.366,82fc7c34-7c3c-11ea-a595-00505601122b,Programming I and II,,(title in AnonLang),python3,al,0,0,0.1,10,1,0,0,9,0,0,0,,
2023-11-11T14:25:40.113,2948002b-9817-11ec-986f-f39926f24a9c,Non-Procedural Programming,,(title in AnonLang),prolog,al,0,0,0,5,0,0,0,1,2,2,0,,
2023-11-11T14:27:45.048,f42b809e-9ee7-11ec-986f-f39926f24a9c,Programming I and II,,FACTORIAL,python3,en,0,0,0.2,5,1,0,0,0,4,0,0,,
2023-11-11T14:28:36.326,db4160dc-a811-11e7-a937-00505601122b,Programming I and II,,All parenthesizations,python3,en,0,0,0,6,0,0,0,6,0,0,0,,
2023-11-11T14:28:59.925,523b4b10-ce05-11e8-a4be-00505601122b,Programming in C++,,(title in AnonLang),cxx-gcc-linux,al,0,0,1,1,1,0,0,0,0,0,0,,
2023-11-11T14:29:05.004,c240887e-3384-11ec-986f-f39926f24a9c,Programming I and II,,Squares in a triangle,python3,en,0,0,0,3,0,0,0,3,0,0,0,,
2023-11-11T14:34:41.828,ed23d4a7-85fc-11eb-a1a9-005056ad4f31,Programming I and II,,(title in AnonLang),python3,al,0,0,1,5,5,0,0,0,0,0,0,,
2023-11-11T14:36:45.079,964ca5ca-a88f-11e7-a937-00505601122b,Programming I and II,,Adjusting a matrix to zero,python3,en,0,0,0.75,4,3,0,0,1,0,0,0,,
2023-11-11T14:43:25.611,947ce196-a7b3-11e7-a937-00505601122b,Programming I and II,,(title in AnonLang),python3,al,0,0,0,4,0,0,4,0,0,0,0,,
2023-11-11T14:43:45.356,0dd06ca4-44c0-11ec-986f-f39926f24a9c,Introduction to Algorithms,,(title in AnonLang),python3,al,0,0,0,5,0,0,5,0,0,0,0,,
2023-11-11T14:43:55.943,e768f5a8-401b-11ec-986f-f39926f24a9c,Introduction to Algorithms,,All permutations of a string,python3,en,0,0,0.4,5,2,0,0,3,0,0,0,,
2023-11-11T14:44:09.155,28c2a5b5-a88d-11e7-a937-00505601122b,Programming I and II,,(title in AnonLang),cs-dotnet-core,al,0,0,0,4,0,0,0,4,0,0,0,,
2023-11-11T14:44:23.782,855e23af-a8e2-11e7-a937-00505601122b,Programming I and II,,Maximum value in a sequence (with occurrences),c-gcc-linux,en,0,0,0,3,0,0,0,3,0,0,0,,
2023-11-11T14:44:38.372,f1276714-2ea0-11ec-986f-f39926f24a9c,Programming I and II,,(title in AnonLang),python3,al,0,0,0,2,0,0,0,2,0,0,0,,
2023-11-11T14:46:51.859,e872c79b-e68a-11e9-9ce9-00505601122b,Data Structures I,,Red-black trees,cxx-gcc-linux,en,0,0,0,7,0,7,0,0,0,0,0,,
2023-11-11T14:47:27.516,86450a4d-95af-11ec-986f-f39926f24a9c,Non-Procedural Programming,,Run-lenght encoding,prolog,en,0,0,0,4,0,0,0,0,0,4,0,,
2023-11-11T14:48:56.459,6c0a2776-a814-11e7-a937-00505601122b,Programming I and II,,(title in AnonLang),c-gcc-linux,al,0,0,0,11,0,0,0,11,0,0,0,,
2023-11-11T14:49:24.792,254496bf-93e4-11ec-986f-f39926f24a9c,Programming I and II,,Multiplication of large numbers,cs-dotnet-core,en,0,0,0,8,0,8,0,0,0,0,0,,
2023-11-11T14:49:43.676,2fe122ad-f02f-11e9-9ce9-00505601122b,Introduction to Algorithms,,Prime factorization II,python3,en,0,0,0,14,0,0,0,14,0,0,0,,
2023-11-11T14:50:04.459,e5f69567-a813-11e7-a937-00505601122b,Programming I and II,,(title in AnonLang),python3,al,0,0,0.7,7,5,0,0,2,0,0,0,,
2023-11-11T14:51:15.822,9e9b946e-2c31-11ec-986f-f39926f24a9c,Programming I and II,,"Perfect number, square and cube",python3,en,0,0,0,7,0,0,0,7,0,0,0,,
2023-11-11T14:51:33.157,1601b407-c884-11e8-a4be-00505601122b,Programming in C++,,(title in AnonLang),cxx-gcc-linux,al,0,0,0.5,4,2,0,0,2,0,0,0,,
2023-11-11T14:52:28.134,efa010e8-a811-11e7-a937-00505601122b,Programming I and II,,Find a permutation,cs-dotnet-core,en,0,0,0,8,0,8,0,0,0,0,0,,
2023-11-11T14:53:06.005,06a200d4-7d48-11eb-a1a9-005056ad4f31,Programming I and II,,(title in AnonLang),cxx-gcc-linux,al,0,0,0,10,0,0,0,10,0,0,0,,
2023-11-11T14:53:28.219,2d2eaa54-a88c-11e7-a937-00505601122b,Programming I and II,,(title in AnonLang),cs-dotnet-core,al,0,0,0,10,0,0,0,10,0,0,0,,
2023-11-11T14:54:28.748,02c10843-2238-11ec-986f-f39926f24a9c,Programming I and II,,(title in AnonLang),python3,al,0,0,1,10,10,0,0,0,0,0,0,,
2023-11-11T14:55:27.625,99581db8-343f-11ec-986f-f39926f24a9c,Programming I and II,,Minimum and maximum sums,python3,en,0,0,0,3,0,0,3,0,0,0,0,,
2023-11-11T14:55:38.132,47e52b91-a88d-11e7-a937-00505601122b,Programming I and II,,(title in AnonLang),python3,al,0,0,0,10,0,0,0,0,0,10,0,,
2023-11-11T14:57:28.380,9cf80424-0cf5-11eb-98c0-005056ad4f31,Programming I and II,,(title in AnonLang),python3,al,0,0,0,5,0,0,5,0,0,0,0,,
2023-11-11T14:58:20.488,fd87c76a-ec64-11e9-9ce9-00505601122b,Programming I and II,,(title in AnonLang),python3,al,0,0,0.2,5,1,0,0,4,0,0,0,,
2023-11-11T14:59:02.499,0018a241-31ed-11ec-986f-f39926f24a9c,Java,,QUICK-SORT,java,en,0,0,0.33,3,1,0,2,0,0,0,0,,
2023-11-11T14:59:11.040,1ad5c2a6-a88c-11e7-a937-00505601122b,Programming I and II,,(title in AnonLang),python3,al,0,0,0.2,5,1,0,0,4,0,0,0,,
2023-11-11T14:59:22.285,20f681d4-eaa7-11e9-9ce9-00505601122b,Programming I and II,,Good numbers,python3,en,0,0,0,5,0,0,5,0,0,0,0,,
2023-11-11T15:00:13.527,007a8871-2c62-4740-9615-613663a20e42,Programming I and II,,(title in AnonLang),python3,al,0,0,0,1,0,0,1,0,0,0,0,,
2023-11-11T15:00:24.815,aea0d783-4b99-11ec-986f-f39926f24a9c,Programming I and II,,(title in AnonLang),python3,al,0,0,0,4,0,0,0,4,0,0,0,,
2023-11-11T15:00:36.055,c9d9150f-d905-11e8-a4be-00505601122b,Programming in C++,,(title in AnonLang),cxx-gcc-linux,al,0,0,0,2,0,2,0,0,0,0,0,,
2023-11-11T15:01:01.729,b8027a86-fc08-11e8-b0fd-00505601122b,Web Applications,,PHP - Sieve of Eratosthenes,php-linux,en,5,5,0.33,3,1,0,0,2,0,0,0,,
2023-11-11T15:01:25.293,c079d101-827c-11eb-a1a9-005056ad4f31,Programming I and II,,Permutations in the columns of a matrix,cs-dotnet-core,en,0,0,0.25,8,2,0,0,6,0,0,0,,
2023-11-11T15:01:40.007,ae5acb61-5ac6-11e9-b0fd-00505601122b,Programming I and II,,Young tableaux R,python3,en,0,0,0,7,0,0,0,7,0,0,0,,
2023-11-11T15:02:48.796,e70fa3b0-28ad-11e8-9de3-00505601122b,Programming I and II,,Queue,python3,en,0,0,0,5,0,0,0,0,0,5,0,,
2023-11-11T15:03:41.605,350d5208-a88d-11e7-a937-00505601122b,Programming I and II,,(title in AnonLang),cs-dotnet-core,al,0,0,0.4,10,4,0,0,6,0,0,0,,
2023-11-11T15:04:16.369,bdb8d1b4-6dbb-11ea-a595-00505601122b,Non-Procedural Programming,,Lists,haskell,en,0,0,0.57,7,4,0,0,0,3,0,0,,
2023-11-11T15:04:26.201,3deef23c-8eff-11ec-986f-f39926f24a9c,Programming I and II,,Odd Fib Sum,python3,en,0,0,1,5,5,0,0,0,0,0,0,,
2023-11-11T15:05:14.338,fd9fb352-c2fc-4ac1-88d2-145e40a583d8,Programming I and II,,(title in AnonLang),python3,al,1,1,0,2,0,0,2,0,0,0,0,,
2023-11-11T15:06:20.968,e5d6ac79-0a4a-11ea-9ce9-00505601122b,Programming I and II,,(title in AnonLang),python3,al,0,0,0.6,5,3,0,0,0,2,0,0,,
2023-11-11T15:08:16.608,593de6bb-c567-11ec-8da3-d412db16db0b,Programming I and II,,Cycles,python3,en,0,0,0,5,0,0,5,0,0,0,0,,
2023-11-11T15:08:50.881,43ee850b-ca08-11e7-a937-00505601122b,Programming I and II,,(title in AnonLang),cs-dotnet-core,al,0,0,0,4,0,4,0,0,0,0,0,,
2023-11-11T15:09:04.183,4baf3bb9-a7bb-11e7-a937-00505601122b,Programming I and II,,(title in AnonLang),python3,al,0,0,0.2,5,1,0,0,4,0,0,0,,
2023-11-11T15:09:16.753,4b5b4f9d-e65e-11e7-9ef6-00505601122b,Programming I and II,,Carrots and Parsley,cs-dotnet-core,en,0,0,0,3,0,0,0,3,0,0,0,,
2023-11-11T15:10:50.416,f39ba7b1-a7b1-11e7-a937-00505601122b,Programming I and II,,King's path on a chessboard (length),python3,en,0,0,0.25,4,1,0,0,3,0,0,0,,
2023-11-11T15:11:33.801,deaaff6f-28ad-11e8-9de3-00505601122b,Programming I and II,,Evaluation of prefix notation,python3,en,0,0,0,1,0,0,0,0,0,0,1,no solution id,
2023-11-11T15:12:19.984,2c1df1fa-fe8a-11e9-9ce9-00505601122b,Programming I and II,,(title in AnonLang),python3,al,0,0,0,5,0,0,0,5,0,0,0,,
2023-11-11T15:12:40.729,a5b391fc-d5af-11ec-8da3-d412db16db0b,Programming I and II,,Ordered N-tuples,python3,en,0,0,1,5,5,0,0,0,0,0,0,,
2023-11-11T15:13:49.713,d07507f7-1046-490f-ab38-8867bbf47416,Programming I and II,,Dice,cs-dotnet-core,en,0,0,0,10,0,10,0,0,0,0,0,,
2023-11-11T15:16:27.533,b98b1f22-cb42-11ec-8da3-d412db16db0b,Programming I and II,,(title in AnonLang),python3,al,0,0,0,4,0,0,0,4,0,0,0,,
2023-11-11T15:16:50.378,023a640f-a811-11e7-a937-00505601122b,Programming I and II,,(title in AnonLang),python3,al,0,0,0,4,0,0,4,0,0,0,0,,
2023-11-11T15:17:25.589,6e7c41f3-f488-11e8-b0fd-00505601122b,Programming in C++,,(title in AnonLang),cxx-gcc-linux,al,0,0,0,2,0,2,0,0,0,0,0,,
2023-11-11T15:17:36.826,5a251e33-a88c-11e7-a937-00505601122b,Programming I and II,,(title in AnonLang),python3,al,0,0,0,5,0,0,0,5,0,0,0,,
2023-11-11T15:17:56.237,72502276-519e-11ea-a595-00505601122b,Programming I and II,,(title in AnonLang),python3,al,0,0,0,3,0,0,3,0,0,0,0,,
2023-11-11T15:18:02.033,ff308921-a7b1-11e7-a937-00505601122b,Programming I and II,,(title in AnonLang),python3,al,0,0,0,10,0,0,0,10,0,0,0,,
2023-11-11T15:18:59.175,e1ab5360-28ad-11e8-9de3-00505601122b,Programming I and II,,Stack,python3,en,10,10,0,5,0,0,5,0,0,0,0,,
2023-11-11T15:19:04.926,8bdf764a-f025-11e9-9ce9-00505601122b,Programming I and II,,Is a number symmetric in Python?,python3,en,0,0,0.2,3,1,0,0,2,0,0,0,,
2023-11-11T15:19:12.700,b2b9630f-8e91-11ec-986f-f39926f24a9c,Programming I and II,,Third Highest Score,python3,en,0,0,0,5,0,0,0,5,0,0,0,,
2023-11-11T15:20:19.693,714cf5f4-9950-11ec-986f-f39926f24a9c,Programming I and II,,Margit the Prime Lover,python3,en,0,0,0,5,0,0,0,0,5,0,0,,
2023-11-11T15:20:55.069,97f2d540-4004-11ec-986f-f39926f24a9c,Programming I and II,,(title in AnonLang),python3,al,0,0,0,4,0,0,0,4,0,0,0,,
2023-11-11T15:22:10.587,e60f4aa9-8285-11eb-a1a9-005056ad4f31,Programming I and II,,Common permutation,cs-dotnet-core,en,0,0,0,8,0,8,0,0,0,0,0,,
2023-11-11T15:22:26.410,fd2bf517-567b-11ea-a595-00505601122b,Programming I and II,,(title in AnonLang),python3,al,0,0,0,5,0,0,5,0,0,0,0,,
2023-11-11T15:23:26.133,d03c30e7-8ef8-11ec-986f-f39926f24a9c,Programming I and II,,Love Constant,python3,en,0,0,0.4,5,2,0,0,0,3,0,0,,
2023-11-11T15:23:51.887,747a88d9-542a-11ec-986f-f39926f24a9c,Introduction to Algorithms,,(title in AnonLang),python3,al,1,1,1,5,5,0,0,0,0,0,0,,
2023-11-11T15:24:13.522,c35954e6-a88c-11e7-a937-00505601122b,Programming I and II,,(title in AnonLang),cs-dotnet-core,al,0,0,0,10,0,0,0,10,0,0,0,,
2023-11-11T15:24:41.092,c774fba0-a4bc-11ec-986f-f39926f24a9c,Programming I and II,,Merge two sorted sequences,python3,en,0,0,0,4,0,0,4,0,0,0,0,,
2023-11-11T15:25:33.528,889efd76-9a9f-11ec-986f-f39926f24a9c,Programming I and II,,(title in AnonLang),python3,al,0,0,0,4,0,0,0,4,0,0,0,,
2023-11-11T15:25:44.701,dd72607b-2e00-11ec-986f-f39926f24a9c,Programming I and II,,Emulate the list.insert() function,python3,en,0,0,0,3,0,0,1,2,0,0,0,,
2023-11-11T15:28:26.793,de52476e-5d58-11ea-a595-00505601122b,Non-Procedural Programming,,Goldbach sums,prolog,en,0,0,0,7,0,0,6,1,0,0,0,,
2023-11-11T15:29:17.114,e30c5b28-0412-11ea-9ce9-00505601122b,Programming I and II,,(title in AnonLang),python3,al,0,0,1,4,4,0,0,0,0,0,0,,
2023-11-11T15:29:33.083,1e5d58df-8efd-11ec-986f-f39926f24a9c,Programming I and II,,Opposite Capitalization,python3,en,0,0,0,4,0,0,0,4,0,0,0,,
2023-11-11T15:30:06.783,ce12cda1-ca0a-11e7-a937-00505601122b,Programming I and II,,Infix evaluator,python3,en,0,0,0,5,0,0,0,5,0,0,0,,
2023-11-11T15:31:28.458,f837d118-a7b1-11e7-a937-00505601122b,Programming I and II,,King's path on a chessboard,cs-dotnet-core,en,0,0,0,4,0,4,0,0,0,0,0,,
2023-11-11T15:31:34.251,4c31698f-1a07-11ea-9ce9-00505601122b,Programming I and II,,(title in AnonLang),python3,al,0,0,0,2,0,0,0,2,0,0,0,,
2023-11-11T15:31:48.289,f8b033c6-b9cd-11e7-a937-00505601122b,Programming I and II,,Number of inversions in a permutation,cxx-gcc-linux,en,0,0,0,8,0,8,0,0,0,0,0,,
2023-11-11T15:32:21.338,d6494627-2675-4b89-9f02-d2def9ae8bd2,Programming I and II,,(title in AnonLang),python3,al,1,1,0,4,0,0,4,0,0,0,0,,
2023-11-11T15:32:29.205,8e0af49f-01de-11eb-9574-ea7484399335,Programming I and II,,(title in AnonLang),python3,al,0,0,1,5,5,0,0,0,0,0,0,,
2023-11-11T15:33:17.533,82d3a2cd-1fc4-11ec-986f-f39926f24a9c,Java,,DYN-ARRAY,java,en,0,0,0,2,0,2,0,0,0,0,0,,
2023-11-11T15:33:47.403,e70f0680-362c-11eb-a1a9-005056ad4f31,Programming I and II,,Young tableaux DP,python3,en,0,0,0,10,0,0,1,9,0,0,0,,
2023-11-11T15:33:49.833,e071106a-cd50-11e8-a4be-00505601122b,Programming in C++,,(title in AnonLang),cxx-gcc-linux,al,0,0,0,1,0,0,0,0,0,0,1,no filename provided,
2023-11-11T15:34:01.734,30498f7c-a88d-11e7-a937-00505601122b,Programming I and II,,Number of words,python3,en,0,0,0,5,0,0,5,0,0,0,0,,
2023-11-11T15:34:51.992,dd44dd78-5130-11ec-986f-f39926f24a9c,Introduction to Algorithms,,(title in AnonLang),python3,al,0,0,0,5,0,0,0,5,0,0,0,,
2023-11-11T15:35:58.616,1fefc4e2-44b7-11e9-b0fd-00505601122b,Programming I and II,,King in a file,c-gcc-linux,en,0,0,0,7,0,7,0,0,0,0,0,,
2023-11-11T15:36:27.550,566e4d24-561e-11ec-986f-f39926f24a9c,Introduction to Algorithms,,(title in AnonLang),python3,al,0,0,0,8,0,0,8,0,0,0,0,,
2023-11-11T15:36:38.033,443b5b01-a88d-11e7-a937-00505601122b,Programming I and II,,Copying a file by sentences,python3,en,0,0,0,5,0,0,0,5,0,0,0,,
2023-11-11T15:37:11.099,8bea7cb7-c1bc-4bb6-9bfd-382c50748ee1,Programming I and II,,Maximum product,cs-dotnet-core,en,0,0,0,10,0,0,10,0,0,0,0,,
2023-11-11T15:37:44.865,dfc2a156-7203-11ec-986f-f39926f24a9c,Introduction to Algorithms,,(title in AnonLang),python3,al,0,0,0,5,0,0,5,0,0,0,0,,
2023-11-11T15:38:36.505,c9d5e0b3-1124-11ea-9ce9-00505601122b,Programming I and II,,(title in AnonLang),python3,al,1,1,0.6,10,6,0,0,4,0,0,0,,
2023-11-11T15:38:51.128,5af1ca0d-cb28-11ec-8da3-d412db16db0b,Programming I and II,,Cliques,python3,en,0,0,0,5,0,0,5,0,0,0,0,,
2023-11-11T15:39:53.395,12aee9c1-f64c-11e9-9ce9-00505601122b,Programming I and II,,(title in AnonLang),python3,al,0,0,1,6,6,0,0,0,0,0,0,,
2023-11-11T15:40:24.550,f1d6aec6-e409-11e8-a4be-00505601122b,Programming in C++,,(title in AnonLang),cxx-gcc-linux,al,0,0,1,1,1,0,0,0,0,0,0,,
2023-11-11T15:40:37.069,e786ad5e-3e61-11ec-986f-f39926f24a9c,Programming I and II,,Pyramid fill,python3,en,0,0,0,3,0,0,0,3,0,0,0,,
2023-11-11T15:41:24.641,b13589df-9eee-11ec-986f-f39926f24a9c,Programming I and II,,Number of Elements,python3,en,0,0,0,5,0,0,5,0,0,0,0,,
2023-11-11T15:41:48.716,3eaa2aa5-f364-11e9-9ce9-00505601122b,Programming I and II,,(title in AnonLang),python3,al,0,0,0.2,5,1,0,0,4,0,0,0,,
2023-11-11T15:43:52.160,395dc39c-b5d2-11ec-8d84-d310d4f96200,Programming I and II,,Over the Median v2,python3,en,0,0,0,5,0,0,0,3,2,0,0,,
2023-11-11T15:46:42.915,81a692a6-0efb-11eb-98c0-005056ad4f31,Programming I and II,,(title in AnonLang),python3,al,0,0,0,4,0,0,4,0,0,0,0,,
2023-11-11T15:47:57.775,9067a388-0c60-11ea-9ce9-00505601122b,Programming I and II,,(title in AnonLang),python3,al,1,1,0.25,12,3,0,9,0,0,0,0,,
2023-11-11T15:48:03.508,f6083437-2f8d-11ec-986f-f39926f24a9c,Introduction to Algorithms,,(title in AnonLang),python3,al,0,0,0,7,0,0,0,7,0,0,0,,
2023-11-11T15:48:15.469,86585739-0e49-11eb-98c0-005056ad4f31,Programming in C++,,(title in AnonLang),cxx-gcc-linux,al,0,0,0,1,0,0,0,1,0,0,0,,
2023-11-11T15:49:16.440,58e74dd3-0427-11ea-9ce9-00505601122b,Programming I and II,,(title in AnonLang),python3,al,0,0,0,5,0,0,0,5,0,0,0,,
